,0
2224,-10
2225,-11
2226,-5
2227,-8
2228,61
2229,50
2230,-21
2231,6
2232,-6
2233,-61
2234,-20
2235,-16
2236,14
2237,-11
2238,8
2239,31
2240,-14
2241,45
2242,33
2243,-60
2244,-34
2245,-60
2246,-48
2247,-94
2248,-18
2249,31
2250,30
2251,84
2252,41
2253,-4
2254,-47
2255,-21
2256,13
2257,-23
2258,-40
2259,-49
2260,-25
2261,-7
2262,16
2263,10
2264,31
2265,-1
2266,-8
2267,-17
2268,6
2269,-23
2270,-39
2271,-34
2272,-50
2273,-77
2274,-73
2275,-34
2276,-12
2277,13
2278,68
2279,7
2280,-31
2281,-21
2282,-19
2283,-55
2284,-49
2285,-48
2286,-52
2287,13
2288,20
2289,-21
2290,29
2291,23
2292,1
2293,-32
2294,-25
2295,-39
2296,-78
2297,-28
2298,-15
2299,19
2300,54
2301,2
2302,-32
2303,9
2304,2
2305,40
2306,-10
2307,-7
2308,-1
2309,-42
2310,-21
2311,-15
2312,-37
2313,-25
2314,-28
2315,-14
2316,5
2317,-3
2318,24
2319,12
2320,-16
2321,-23
2322,-31
2323,-44
2324,-83
2325,-59
2326,-6
2327,-14
2328,46
2329,31
2330,6
2331,-5
2332,13
2333,16
2334,-16
2335,-7
2336,-46
2337,-52
2338,-31
2339,24
2340,-18
2341,-18
2342,-34
2343,-33
2344,-24
2345,-25
2346,-86
2347,-76
2348,18
2349,95
2350,77
2351,24
2352,-7
2353,2
2354,-24
2355,7
2356,-56
2357,-42
2358,-26
2359,-14
2360,15
2361,-1
2362,-32
2363,9
2364,-18
2365,-27
2366,4
2367,-12
2368,-25
2369,-51
2370,-58
2371,-33
2372,-65
2373,-42
2374,-64
2375,-68
2376,13
2377,32
2378,60
2379,43
2380,7
2381,-9
2382,-10
2383,9
2384,8
2385,-30
2386,-36
2387,-66
2388,-15
2389,-17
2390,-60
2391,-64
2392,-89
2393,-25
2394,-37
2395,-66
2396,-27
2397,-16
2398,31
2399,65
2400,73
2401,17
2402,10
2403,-31
2404,49
2405,-15
2406,-8
2407,-20
2408,-11
2409,-47
2410,-17
2411,-29
2412,-20
2413,-63
2414,-36
2415,-50
2416,-27
2417,0
2418,-20
2419,-14
2420,-42
2421,-47
2422,-34
2423,-79
2424,-26
2425,-8
2426,11
2427,64
2428,19
2429,-20
2430,-11
2431,-17
2432,-5
2433,-16
2434,-20
2435,-14
2436,-53
2437,-13
2438,-17
2439,-25
2440,-19
2441,15
2442,-147
2443,-56
2444,-58
2445,-158
2446,-68
2447,-47
2448,-37
2449,-31
2450,21
2451,-31
2452,-118
2453,-47
2454,-12
2455,-69
2456,-54
2457,-17
2458,-63
2459,-131
2460,3
2461,-64
2462,-115
2463,-46
2464,-30
2465,-134
2466,-29
2467,-22
2468,-70
2469,-94
2470,-11
2471,-135
2472,-147
2473,-58
2474,-58
2475,-141
2476,-48
2477,33
2478,-123
2479,-47
2480,-27
2481,-74
2482,-61
2483,8
2484,11
2485,-47
2486,-5
2487,-7
2488,-50
2489,-56
2490,40
2491,-77
2492,-95
2493,-48
2494,-42
2495,-110
2496,-68
2497,34
2498,1
2499,-7
2500,55
2501,2
2502,-66
2503,23
2504,28
2505,-98
2506,-18
2507,38
2508,14
2509,-69
2510,3
2511,41
2512,-27
2513,-51
2514,48
2515,17
2516,-82
2517,86
2518,53
2519,-58
2520,-35
2521,-5
2522,-91
2523,-84
2524,-11
2525,62
2526,-15
2527,36
2528,51
2529,14
2530,-29
2531,2
2532,15
2533,-54
2534,-51
2535,-23
2536,-19
2537,-90
2538,-37
2539,74
2540,-28
2541,-47
2542,-11
2543,-2
2544,-89
2545,-67
2546,71
2547,57
2548,14
2549,61
2550,125
2551,-3
2552,-56
2553,5
2554,24
2555,-13
2556,-70
2557,8
2558,39
2559,-51
2560,-55
2561,2
2562,-4
2563,-86
2564,-24
2565,43
2566,-63
2567,-90
2568,-51
2569,38
2570,-47
2571,-52
2572,-8
2573,-25
2574,-94
2575,-3
2576,90
2577,43
2578,-63
2579,-8
2580,43
2581,-35
2582,-36
2583,39
2584,15
2585,-73
2586,-21
2587,35
2588,30
2589,-17
2590,6
2591,63
2592,-14
2593,-89
2594,-6
2595,-9
2596,-31
2597,22
2598,93
2599,111
2600,-49
2601,-3
2602,21
2603,-20
2604,-95
2605,20
2606,30
2607,-33
2608,-40
2609,53
2610,-13
2611,-88
2612,-29
2613,117
2614,42
2615,9
2616,88
2617,53
2618,25
2619,-20
2620,19
2621,16
2622,-77
2623,-72
2624,63
2625,40
2626,53
2627,79
2628,49
2629,-38
2630,51
2631,112
2632,44
2633,16
2634,21
2635,30
2636,-63
2637,-9
2638,47
2639,13
2640,-12
2641,62
2642,14
2643,45
2644,-11
2645,51
2646,81
2647,55
2648,77
2649,46
2650,67
2651,21
2652,45
2653,81
2654,67
2655,50
2656,42
2657,93
2658,64
2659,21
2660,53
2661,-24
2662,-46
2663,5
2664,42
2665,9
2666,58
2667,90
2668,55
2669,38
2670,5
2671,15
2672,-8
2673,-20
2674,48
2675,104
2676,49
2677,72
2678,55
2679,59
2680,33
2681,52
2682,55
2683,50
2684,-4
2685,65
2686,-18
2687,-16
2688,52
2689,77
2690,57
2691,26
2692,40
2693,-17
2694,34
2695,55
2696,66
2697,78
2698,111
2699,-10
2700,47
2701,62
2702,85
2703,66
2704,98
2705,57
2706,75
2707,58
2708,52
2709,5
2710,41
2711,36
2712,16
2713,23
2714,78
2715,51
2716,60
2717,48
2718,45
2719,54
2720,24
2721,-8
2722,19
2723,31
2724,94
2725,56
2726,63
2727,58
2728,32
2729,42
2730,82
2731,38
2732,46
2733,20
2734,41
2735,23
2736,38
2737,21
2738,33
2739,28
2740,9
2741,22
2742,-36
2743,4
2744,0
2745,58
2746,145
2747,120
2748,63
2749,56
2750,8
2751,21
2752,28
2753,40
2754,8
2755,48
2756,51
2757,43
2758,66
2759,29
2760,50
2761,42
2762,22
2763,52
2764,76
2765,37
2766,32
2767,30
2768,36
2769,14
2770,-19
2771,32
2772,38
2773,70
2774,88
2775,76
2776,64
2777,33
2778,46
2779,15
2780,17
2781,52
2782,35
2783,-1
2784,30
2785,65
2786,32
2787,-37
2788,6
2789,81
2790,80
2791,33
2792,-2
2793,48
2794,42
2795,64
2796,97
2797,92
2798,70
2799,28
2800,25
2801,34
2802,51
2803,66
2804,68
2805,54
2806,99
2807,50
2808,56
2809,25
2810,55
2811,39
2812,64
